"Partei: Nr.","Partei: Kurzbezeichnung","Partei: Name","These: Nr.","These: Titel","These: These","Position: Position","Position: Begründung"
21,"Die Grauen","Die Grauen – Für alle Generationen",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu",
22,"BüSo","Bürgerrechtsbewegung Solidarität",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme nicht zu","Sie sollen ebenso zugelassen werden wie andere Bewerber , unter entsprechenden  Sicherheitsvorkehrungen. Diese müssen auch für die USA und andere 5-Eye-Staaten gelten. Die geopolitische Konfrontation gegen China und Russland ist völlig kontraproduktiv, sie liegt nicht im Interesse Deutschlands oder Europas."
23,"Die Humanisten","Partei der Humanisten",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","neutral","Es muss abgewogen werden zwischen freiem Handel und Innovation einerseits sowie Datenschutz- und nationalen Sicherheitsinteressen andererseits. Wir haben noch keine finale Position zu dieser These."
24,"du.","Die Urbane. Eine HipHop Partei",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","In China ist die Kontrolle der Verwaltungen und Strukturen über Individuen durch das sogenannte ""social scoring"" mithilfe von KI und moderner Kommunikationsinfrastruktur bereits sehr etabliert. Das lässt mindestens große Bedenken aufkommen, ob Aufträge, die eben gerade Aufbau und Ausbau von Kommunikationsinfrastruktur betreffen, nicht geeignet sind, genau diese Funktionen auch hier zu etablieren. Erst muss es starke transkontinentale Regulierung für KI und Biotechnologie geben. "
25,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme nicht zu","Die SGP lehnt Wirtschaftsnationalismus und Protektionismus in jeglicher Form ab. Schon den beiden Weltkriegen gingen Handelskriege voraus, bei denen sich die imperialistischen Länder gegenseitig mit Strafzöllen überzogen. Auch heute müssen Arbeiter und Jugendliche dem ,,America First"" und ,,Europe First"" der herrschenden Klassen mit internationaler Einheit entgegentreten und für eine sozialistische Perspektive kämpfen, um eine Katastrophe zu verhindern."
26,"dieBasis","Basisdemokratische Partei Deutschland",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","dieBasis steht für informationelle Selbstbestimmung im Zeitalter der Digitalisierung. Wir wollen digitale Souveränität durch eine selbst kontrollierte, sichere IT-Infrastruktur für Europa und unterstützen das Gaia-X Projekt. Wir lehnen die Integration von Konzernen der kommunistischen VR China in dieses Projekt ab. [Mitgliederbefragung: Ja 70 %, Nein 12 %, Neutral 18 %]"
27,"Bündnis C","Bündnis C - Christen für Deutschland",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","Die Nähe von chinesischen Unternehmen zur chinesischen, politischen Führung macht den Ausbau von Kommunikationsinfrastruktur anfällig für eventuelle Spionage."
28,"BÜRGERBEWEGUNG","Bürgerbewegung für Fortschritt und Wandel",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","neutral","Es gibt keinen allgemeingültigen Grund für eine Einschränkung, es kommt auf die Einzelheiten an."
29,"III. Weg","DER DRITTE WEG",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","DER III. WEG setzt sich für eine raumgebundene Volkswirtschaft ein. Durch die Investitionsfreiheit ausländischer Konzerne verkommen lokale Unternehmen, deren Arbeitnehmer und ebenso die Grundversorgung, zum Spielball internationaler Großinvestoren. Damit wird Know-how aus Deutschland abgezogen und der normale Angestellte leidet unter einem Gewinnoptimierungszwang. Die Kommunikationsinfrastruktur zählt zu den systemrelevanten Bereichen und gehört in staatliche Hand."
30,"BÜNDNIS21","diePinken/BÜNDNIS21",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme nicht zu","Zur Versorgungssicherheit bedarf es inländischer Produktion in vier Bereichen: Medikamente, Ernährung, Energie, IT. Für die Betriebssicherheit der Kommunikationsinfrastruktur der öffentlichen Hand fordern wir die vorrangige Nutzung europäischer Software. "
31,"LIEBE","Europäische Partei LIEBE",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu",
32,"LKR","Liberal-Konservative Reformer",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","Solange der totalitäre chinesische Staat Zugriffsrechte und Zugriffsmöglichkeiten über sogenannte Backdoors verschafft bzw. diese nicht gesichert auszuschließen sind, können wir die hochsensible Kommunikationsinfrastruktur nicht mit chinesischen Komponenten aufbauen. "
33,"PdF","Partei des Fortschritts",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","Der Standort Europa soll im technologischen Sinne weiter gefördert werden. Daher sollten Firmen vor allem aus China gemieden werden. "
34,"LfK",">> Partei für Kinder, Jugendliche und Familien ",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","neutral",
35,"SSW","Südschleswigscher Wählerverband",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","Der SSW will, dass hierfür ausnahmslos europäische Anbieter und Produzenten berücksichtigt werden, um den Schutz persönlicher und sensibler Daten zu gewährleisten und Industriespionage zu erschweren. "
36,"Team Todenhöfer","Team Todenhöfer – Die Gerechtigkeitspartei",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme nicht zu","Ein Ausschluss aus dem 5G-Ausbau würde Deutschland technologisch um mehrere Jahre zurückwerfen, was zu einem langfristigen Wettbewerbsnachteil im globalen Wettbewerb führen wird. In der ,,digitalen Wettbewerbsfähigkeit"" fiel Deutschland bereits auf den 18. Platz zurück.  Da auch die europäischen Firmen Teile ihrer Produkte in China herstellen lassen, ist das Sicherheitsargument hinfällig in unseren Augen. "
37,"UNABHÄNGIGE","UNABHÄNGIGE für bürgernahe Demokratie",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme zu","Der chinesische Staat soll keinen Zugriff erhalten. "
38,"Volt","Volt Deutschland",22,"Aufträge an chinesische Firmen","Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.","stimme nicht zu","Der Zugang chinesischer Unternehmen zum Markt der EU muss aus Sicht der Wahrung der Grund- und Menschenrechte ggf. eingeschränkt werden. Aufgrund der Sicherheit der Telekommunikationsinfrastruktur sollte besonders der 5G-Ausbau durch chinesische Firmen kritisch hinterfragt werden. Deswegen sollten ausschließlich kurzfristige Verträge unterzeichnet werden. Die EU sollte die Betriebsgenehmigungen chinesischer Unternehmen von Gegenseitigkeit - einschließlich der Meinungsfreiheit - abhängig machen."
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Alle Religionsgemeinschaften, die Körperschaft des öffentlichen Rechts sind, dürfen von ihren Mitgliedern Kirchensteuer erheben. Damit kann die Handlungsfähigkeit der Kirchen erhalten werden. Die Kirchen bleiben damit von Spenden weitgehend unabhängig und können langfristig planen. Damit sind sie auch besser in der Lage, ihre vielfältigen Dienste für die Gesellschaft zu erbringen. Der Steuereinzug erfolgt über die Finanzämter und die Kirchen beteiligen sich an den Verwaltungskosten."
2,"SPD","Sozialdemokratische Partei Deutschlands",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Die Abschaffung der Kirchensteuer ist nicht Bestandteil des SPD-Zukunftsprogramms. Wir sind stolz auf unsere Zivilgesellschaft mit vielen Vereinen und Initiativen, den Wohlfahrtsverbänden, Kirchen und Religionsgemeinschaften, in denen sich Millionen Menschen ehrenamtlich engagieren. Die Weimarer Kirchenartikel, die das Grundgesetz übernommen hat, bilden neben der Religionsfreiheit einen zentralen Bestand des Religionsverfassungsrechts. Wir streben diesbezüglich keine Verfassungsänderung an."
3,"AfD","Alternative für Deutschland",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","neutral","Die AfD strebt, wie auch andere Parteien, eine endgültige Ablösung der Kirchenfinanzierung an, die wegen der Säkularisierung von Kirchenbesitz zu Beginn des 19. Jahrhunderts geleistet wird. Dazu hat die AfD auch einen Gesetzentwurf im Bundestag eingebracht. Daran gemessen ist der staatliche Kirchensteuereinzug kein Problem von besonderer Tragweite, zumal bei angemessener Kostenerstattung für diese Dienstleistung."
4,"FDP","Freie Demokratische Partei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Als Freie Demokraten erkennen wir an, dass sich das geltende Kirchensteuerrecht als prinzipiell gleichberechtigtes Kooperationsmodell für alle Religionsgemeinschaften bewährt hat, die als öffentlich-rechtliche Körperschaften anerkannt sind. Die weltanschaulich-religiöse Neutralität des Staates wird damit gewahrt. Generell wollen wir unser traditionelles Staatskirchenrecht perspektivisch zu einem modernen Religionsverfassungsrecht weiterentwickeln."
5,"DIE LINKE","DIE LINKE",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Wir wollen, dass die Kirchen in Zukunft ihre Steuern bzw. Beiträge selbstständig einziehen. Wir treten für den seit 1919 bestehenden Verfassungsauftrag zur Ablösung der Staatsleistungen an die Kirchen ein. In einer weltanschaulich und religiös vielfältigen Gesellschaft müssen alle die gleichen Möglichkeiten der Finanzierung haben."
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Das Bundesverfassungsgericht hat das Kirchen- bzw. Gemeindesteuersystem als verfassungskonform bestätigt. Unterhalb der grundsätzlichen Frage sehen wir allerdings deutlichen Reformbedarf des aktuellen Kirchensteuereinzugs. So bedarf es etwa der Reform der Besteuerung von glaubensverschiedenen Ehen, der Kirchensteuerzahlung bei geringfügig Beschäftigten sowie des Datenschutzes hinsichtlich des bisherigen Zwangs zur Offenbarung der Kirchenzugehörigkeit gegenüben Dritten."
7,"FREIE WÄHLER","FREIE WÄHLER",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Die abendländische Kultur ist prägend für unsere aufgeklärte, offene und vielfältige Gesellschaft."
8,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Da soll mal schön dieser sogenannte Gott für sorgen, von dem diese Leute immer reden. Der ist angeblich allmächtig und sollte kein Problem damit haben, etwas Geld einzutreiben. Notfalls mit Hilfe russischer Inkassofirmen! Himmel, wieso geht es eigentlich allen, selbst Gott, immer nur um Geld, Geld, Geld?"
9,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Tierschutzpartei spricht sich für eine klare Trennung von Politik und Religion aus. Der Staat muss alle Religionen gleich behandeln und Bevorteilungen vermeiden. Die Mitglieder einer Religionsgemeinschaft müssen ihre religiöse Tätigkeit selbst organisieren und verwalten. Der Einzug jeglicher Gelder ist getrennt vom staatlichen Steuereinzug zu gestalten. Das Einziehen der Kirchensteuer liegt, wie die Mitgliedsbeiträge anderer Religionsgemeinschaften, in der Verantwortung ihrer Mitglieder."
10,"NPD","Nationaldemokratische Partei Deutschlands",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Kirchen betreiben mittlerweile so dreist politische Interessenpolitik, dass es nicht mehr mit dem Grundsatz religiöser Neutralität vereinbar ist, dass der Staat für die Kirchen die Steuer einzieht. Der Staat ist nicht das Inkassounternehmen der Kirchen. "
11,"PIRATEN","Piratenpartei Deutschland",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Eine wie vom Grundgesetz geforderte Trennung von Staat und Kirche muss auch beinhalten, dass der Staat sich aus der Finanzierung der Religionsgemeinschaften heraushält. Das beinhaltet auch die Einnahme der Mitgliedsbeiträge."
12,"ÖDP","Ökologisch-Demokratische Partei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Religionsgemeinschaften erfüllen neben der Wertebildung und deren Vermittlung wichtige gesellschaftliche Aufgaben. Die Kirchen engagieren sich vielfältig beim Betrieb und der Einrichtung von Kindergärten, Schulen, Krankenhäusern, Altenheimen und anderen sozialen Einrichtungen. Diese werden z. T. aus Kirchensteuern finanziert und entlasten dabei Staat und Kommunen."
13,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Wir als V-Partei³ sprechen uns für eine konsequente Trennung von Staat und Kirche aus. Da die Säkularisierung im Grundgesetz verankert ist, soll der Staat auch nicht die Kirchensteuer einziehen."
14,"DiB","DEMOKRATIE IN BEWEGUNG",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","DiB fordert in seinem Programm eine strikte Trennung von Kirche und Staat. Der Laizismus muss umfassend in der Verfassung Deutschlands verankert und auf allen Ebenen des Staates strikt durchgesetzt werden. So kann der Staat die Kirchensteuer allenfalls als Dienstleistung gegen Bezahlung einziehen."
15,"BP","Bayernpartei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Besser noch das italienische Modell, bei dem der Steuerzahler festlegt für welchen sozialen Zweck seine Zahlung verwendet wird."
16,"Tierschutzallianz","Allianz für Menschenrechte, Tier- und Naturschutz",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu",
17,"MLPD","Marxistisch-Leninistische Partei Deutschlands",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Internationalistische Liste/MLPD lehnt es ab, dass der Staat die Kirchensteuer für Religionsgemeinschaften einzieht. Kirche und Staat gehören getrennt. "
18,"Gesundheitsforschung","Partei für Gesundheitsforschung",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","neutral","Die Partei für Gesundheitsforschung ist eine Ein-Themen-Partei, die als einziges Ziel hat, die Entwicklung wirksamer Medizin gegen Alterskrankheiten wie Krebs und Alzheimer zu beschleunigen. Sie setzt sich dafür ein, dass mehr staatliche Forschungsinstitute gebaut und betrieben werden und die entsprechenden Fachbereiche an den Universitäten ausgebaut werden. Ihr Ziel will sie in Zusammenarbeit mit anderen Parteien erreichen. In alle anderen politischen Themen will sie sich nicht einmischen."
19,"MENSCHLICHE WELT","Menschliche Welt - für das Wohl und Glücklichsein aller",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Kirchensteuer sollte von den Kirchen eingezogen werden. MENSCHLICHE WELT plädiert dafür, dass der Staat alle Staatsbürger gleich und fair behandelt und keiner Religionsgemeinschaft Vorteile gegenüber einer anderen gewährt."
20,"DKP","Deutsche Kommunistische Partei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die DKP ist für die strikte Trennung von Staat und Kirche. Religion ist Privatsache. Sonderrechte von anerkannten Religionsgemeinschaften, wie z.B. das erheben von Kirchsteuern durch den Staat, lehnt die DKP grundsätzlich ab."
21,"Die Grauen","Die Grauen – Für alle Generationen",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu",
22,"BüSo","Bürgerrechtsbewegung Solidarität",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Es hängen zu viele Leistungen im sozialen Sektor daran, als dass man dieses Prinzip gerade jetzt aufgeben sollte. "
23,"Die Humanisten","Partei der Humanisten",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Wir sind für einen säkularen Staat, der keine finanziellen, vertraglichen oder institutionellen Verpflichtungen oder Verbindungen mit religiösen Gemeinschaften oder sonstigen Weltanschauungsgemeinschaften hat. Deshalb fordern wir die Kündigung der bestehenden Kirchenverträge und die Abschaffung der Kirchensteuer. Kirchen müssen für die Kosten der Einziehung ihrer Mitgliedsbeiträge selbst aufkommen, so wie es bei allen privaten Vereinen der Fall ist."
24,"du.","Die Urbane. Eine HipHop Partei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Wir leben in einem säkularen Staat, wenn dieser für christliche Gemeinschaften eine Steuer einzieht und dafür den Verwaltungsapparat gebraucht, so muss er das entweder für alle Glaubens- und Religionsgemeinschaften tun, oder für keine. Eigentlich sind Staat und Religion voneinander zu trennen, daher muss auch ein solches System der Erhebung alle gleich behandeln. "
25,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Religionsfreiheit gerade von Minderheiten muss geschützt werden. Stattdessen muss der Einfluss der Kirchen auf den Staat gebrochen werden."
26,"dieBasis","Basisdemokratische Partei Deutschland",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","dieBasis fordert eine Trennung des kulturell-geistigen Lebens von Staat und Politik. Wir fordern die Einstellung staatlicher Transferleistungen an religiöse Einrichtungen, außer solchen, die auch andere freie Träger der Wohlfahrt, Bildung, der Gesundheitspflege etc. erhalten. [Mitgliederbefragung: Ja 6 %, Nein 84 %, Neutral 10 %]"
27,"Bündnis C","Bündnis C - Christen für Deutschland",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Die Kirchen sind unverzichtbare Partner im Bildungs-, Gesundheits- und Sozialwesen. "
28,"BÜRGERBEWEGUNG","Bürgerbewegung für Fortschritt und Wandel",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Staatliche Neutralität in Religionsfragen!"
29,"III. Weg","DER DRITTE WEG",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Die Partei ""Der III. Weg"" spricht sich nicht gegen den Islam als Religion aus, doch gehört dieser nicht nach Deutschland, sondern in jene Länder, die seit Jahrhunderten vom Islam geprägt sind. Eine Moschee wie ein Kopftuch sind nur ein weiteres Zeichen der zunehmenden Überfremdung Deutschlands. Keine Religionsgemeinschaft sollte bei der Einziehung ihrer Mitgliedsbeiträge staatlich gefördert werden."
30,"BÜNDNIS21","diePinken/BÜNDNIS21",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Es ist Konsens, dass die staatliche Alimentierung von Geistlichen aus dem Vertrag von 1803 und die Subventionierung der kirchlichen sozialen Arbeit im Rahmen des Sozialstaates die Kirchen zu abhängigen und hörigen Staatskirchen gemacht hat, die nicht mehr im Sinne der Gläubigen agieren, sondern im Sinne der eigenen Macht- und Gelderhaltung, bzw.-vermehrung. "
31,"LIEBE","Europäische Partei LIEBE",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu",
32,"LKR","Liberal-Konservative Reformer",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Wir halten die Trennung von Staat und Religion für ein wichtiges Element einer freien Gesellschaft. Die Kirchensteuer ist ein speziell deutscher Anachronismus, der seine Wurzeln in einer Entschädigung der weltlichen Fürsten für 1801 an Frankreich abgetretene linksrheinische Gebiete und dort verlorenen Kirchenbesitz hat. Die Kirchen mögen ihr Beitragswesen selbst regeln. "
33,"PdF","Partei des Fortschritts",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Religionsgemeinschaften leisten wertvolle gesellschaftliche Arbeit, die auf Gelder der Anhänger angewiesen sind. Jedoch müssen Staat und Kirche strikter getrennt werden, denn durch unser Grundgesetz wird uns Religions- und Glaubensfreiheit garantiert. Somit ist es unzulässig, dass der Staat einzelne Glaubensgemeinschaften privilegiert, in dem er Steuern für diese erhebt. Dann müsste er dies in logischer Schlussfolgerung auch für weitere Religionsgemeinschaften tun. "
34,"LfK",">> Partei für Kinder, Jugendliche und Familien ",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","neutral",
35,"SSW","Südschleswigscher Wählerverband",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme zu","Die bestehenden Verträge mit den Religionsgemeinschaften über die Einziehung der Kirchensteuer sollten eingehalten werden, allerdings sollten dann auch die entsprechenden Gebühren hierfür, die die Religionsgemeinschaften zu tragen haben, angepasst werden. Dies muss dann aber für alle staatlich anerkannten Religionsgemeinschaften gelten."
36,"Team Todenhöfer","Team Todenhöfer – Die Gerechtigkeitspartei",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Angesichts der dramatischen finanziellen Folgen der Corona-Krise müssen wir den Mut haben, alte Zöpfe abzuschneiden, die nicht mehr zu einer modernen und gerechten Gesellschaft passen. Wir werden die anachronistische Kirchensteuer und sonstige staatliche Leistungen an die Kirche abschaffen. Die karitativen Organisationen der Kirchen hingegen sollten bei ihrer wichtigen sozialen Arbeit weiterhin vom Staat unterstützt werden. "
37,"UNABHÄNGIGE","UNABHÄNGIGE für bürgernahe Demokratie",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Nur dann wenn der Staat für seine ""Dienstleistung"" eine angemessene Vergütung erhält. "
38,"Volt","Volt Deutschland",23,"Kirchensteuer","Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.","stimme nicht zu","Deutschland ist eines der wenigen Länder in Europa, in denen der Staat Kirchensteuer für Religionsgemeinschaften einzieht. Volt setzt sich für die strikte Trennung von Staat und Kirche ein. Es gilt in diesem Zuge, diese Dienstleistung des Staates an die Religionsgemeinschaften einzustellen. Des Weiteren sollte auch der allgemeine Sinn der Kirchensteuer geprüft werden."
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme nicht zu","Eine Legalisierung illegaler Drogen lehnen wir ab. Zu groß sind die gesundheitlichen Folgen für den Einzelnen und die Auswirkungen auf Familie, Umfeld und Gesellschaft. Wer legalisiert, der stellt gerade nicht Gesundheits- und Jugendschutz in den Mittelpunkt der Drogenpolitik, sondern entzieht sich seiner Verantwortung und lässt Betroffene sowie ihre Angehörigen mit den Problemen allein. Das ist nicht unser Weg."
2,"SPD","Sozialdemokratische Partei Deutschlands",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme zu","Verbote und Kriminalisierung haben den Konsum von Cannabis nicht gesenkt. Eine regulierte Abgabe an Erwachsene soll in Modellprojekten von Ländern und Kommunen erprobt werden können, begleitet durch Maßnahmen der Prävention, Beratung und Behandlung im Jugendbereich. Zudem werden wir bundeseinheitlich regeln, dass der Besitz kleiner Mengen von Cannabis strafrechtlich nicht mehr verfolgt wird."
3,"AfD","Alternative für Deutschland",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme nicht zu","Für medizinische Indikationen sollen unter ärztlicher Aufsicht Präparate mit dem Hauptwirkstoff zur Verfügung stehen. Wir befürworten den Ausbau der suchtpsychiatrischen Versorgung für eine dauerhafte Abstinenz von Drogen."
4,"FDP","Freie Demokratische Partei",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme zu","Wir Freie Demokraten fordern eine kontrollierte Freigabe von Cannabis. Wir wollen den Besitz und Konsum für volljährige Personen erlauben. Nur mit einem Verkauf in lizenzierten Geschäften können die Qualität kontrolliert, die Weitergabe von verunreinigten Substanzen verhindert und der Jugendschutz gewährleistet werden. Das Verbot von Cannabis kriminalisiert unzählige Menschen, bindet immense Polizeiressourcen und erleichtert durch illegalen Kontakt zu Dealern den Einstieg zu härteren Drogen."
5,"DIE LINKE","DIE LINKE",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme zu","Der Besitz und Anbau zum eigenen Bedarf soll erlaubt sein. Dabei ist uns wichtig, vorrangig nicht-kommerzielle Bezugsmöglichkeiten zu schaffen. "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",24,"Verkauf von Cannabis","Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimme zu","Wir wollen die kontrollierte Abgabe von Cannabis an Erwachsene zulassen. Das derzeitige Verbot von Cannabis verursacht mehr Probleme, als es löst. Deshalb werden wir dem Schwarzmarkt den Boden entziehen und mit einem Cannabiskontrollgesetz auf der Grundlage eines strikten Jugend- und Verbraucherschutzes einen regulierten Verkauf von Cannabis in lizenzierten Fachgeschäften ermöglichen und klare Regelungen für die Teilnahme am Straßenverkehr einführen."
