ID,Company,Industry,Topic,Audience,Type,UseCase,Title,Abstract,Experience,FirstName,LastName,FullName,JobTitle,Biography
89,Neo4j,Pharmaceutical,Knowledge Graph,Developer,Lightning Talk,Apps & APIs,Creating a Clinical Knowldge Graph: Pharmaceutical Collaboration With OpenStoryBuilder,"OpenStudyBuilder is an open source project for clinical study evaluations. This tool is a new approach for working with studies that once fully implemented will drive end-to-end consistency and more efficient processes – all the way from protocol development and CRF design – to creation of datasets, analysis, reporting, submission to health authorities, and public disclosure of study information. Learn how we are building a complete solution based on a clinical knowledge graph that includes a shared API, a custom web application, and exploration tools to further analyze the data. We will also share the open source vision behind the project and how you can help! The OpenStudyBuilder, originally created by NovoNordisk, a global healthcare company, uses Neo4j as its database, along with other products from the Neo4j ecosystem, including NeoDash, Bloom, and the neomodel Python library. Neo4j's professional services team is also involved in the development and deployment of the solution.",Intermediate,Marius,Conjeaud,Marius Conjeaud,Professional Services Engineer,"Marius Conjeaud discovered the world of graphs and Neo4j in 2015, while building startups in the retail and legal sectors, with a focus on recommendations. He then led various consulting and R&D projects leveraging graphs for different companies and topics, including recommendations, targeting, cybersecurity, knowledge management, and topic extraction in textual datasets. He is now a Professional Services Engineer on the professional services team in the EMEA region, and has been involved in building the OpenStudyBuilder, an open source project for clinical study evaluations, led by NovoNordisk."
90,Neo4j,General,CoreDB-Prod,Developer,Full Length Session,"Best Practices, Cloud, Language-specific, Operations",Scale Your Mission-Critical Applications With Neo4j Fabric and Clustering Architecture ,"The high-performance, distributed architecture of Neo4j is fault-tolerant and ACID-compliant across both OLTP and Analytical workloads, ensuring graph-native scale without compromising performance. In this session, we’ll discuss how the distributed architecture provides continuous availability for OLTP workloads and support for large-scale hybrid clusters. The large-scale hybrid clusters provide virtually unlimited scale for read and write-intensive workloads thanks to Neo4j Fabric. Fabric offers sharding and federated capabilities in both local and geo-distributed environments. 

You can also scale reads horizontally, meaning 1000x as many reads simply by adding more Read Replicas. Exciting, isn't it? Also, as part of this session, we’ll touch on some of the experimental features coming in the next major release of Neo4j. 

",Intermediate,Stu,Moore,Stu Moore,Product Manager,"Stu Moore is a Neo4j Product Manager based in London. He has 13 years of product management experience building products with analytics and machine learning (Barclays’ People Analytics), delivering Windows containers from the cloud (start-up), XenApp (Citrix), and a real-time clustering solution for Windows applications like SQL Server and VMware’s vCenter (Neverfail). Much of the time, Stu can be found time outside with his Polish Lowland Sheepdog or going for a run, as he enjoys the occasional hilly half marathon and obstacle course race. Stu enjoys all food and craft beer and watching Nordic Noir on Netflix."
92,Basecamp Research,Biotechnology,Supply Chain,General,Lightning Talk,Data Science,Leveraging Neo4j to Create a Sustainable Partnership-Based Metagenomic Supply Chain,"At Basecamp Research, we believe that biodiversity is our greatest asset, and that it should be valued as such. Through biotechnology, biodiversity offers the first credible chance to wean our world from petrochemistry towards a cleaner, biochemistry-based future. We are building a bridge between biodiversity and the bioeconomy – transforming the connection between these communities. By doing this, we are creating a new, nature-based value chain that simultaneously promotes protection of the Earth’s wild places and provides the building blocks for a cleaner, healthier, and more sustainable future for all.  We use Neo4j to draw links between the genomic and taxonomic contents of samples, collected from  around the world, to allow discovery of commercially valuable products for the bioeconomy that are identified through our ML pipeline and graph algorithms. With Neo4j, we help ensure that the benefits from these products flow back to the stakeholder communities and guardians of biodiversity.",Advanced,Saif,Ur-Rehman,Saif Ur-Rehman,Senior Data Engineer,"Saif Ur-Rehma has an academic background in evolutionary biology, as well as software engineering. After earning a PhD working on phylogenetics at the University of St Andrews, he did postdoctoral work at the Institute of Cancer Research where he focused on breast cancer. He has worked on human genetic data archiving at the European Bioinformatics Institute in Cambridge, contributed to the 100,000 Genomes Project at Genomics England, and worked on the establishment of the world's first Genomic Medical Service being setup by the UK's National Health Service (NHS). He then moved into industry working in ML drug discovery before starting his current position as a Senior Data Engineer at Basecamp Research. In his spare time he is a keen amateur musician, runner, and squash player."
93,JB Hunt,Shipping and Logistics,Supply Chain,Developer,Full Length Session,"Apps & APIs, Aura, Cloud",Trucks on a Graph: How JB Hunt Uses Neo4j,"
At JB Hunt, we needed to modernize how we store, surface, and react to streaming telemetry data for well over 100,000 assets, including trucks, trailers, and containers. Neo4j AuraDB enables flexibility and performance in storing information from many disparate sources and vendors into a unified data model for use in daily operations. Moreover, it positions us to grow our graph, use cases, and capabilities as we continue our path to digital transformation. Our current architecture leverages the intake of streaming data from Kafka, writes telemetry graphs to our Neo4j instance, surfaces that data via APIs, and reacts to events with KSQL streams. We’ll present our use case, data models, and infrastructure, showing you how these technologies work in concert to provide the data and insights required to remain competitive in an ever-changing market.
",Intermediate,Srinivas,Kolluru,Srinivas Kolluru,Senior Director,"Srinivas Kolluru serves as Senior Director of Engineering & Technology at J.B. Hunt.
"
96,Palo Alto Networks,General,Security,Developer,Lightning Talk,"Cloud, Security",Using Graph Analytics to Solve Cloud Security Problems,"Prisma Cloud from Palo Alto Networks is a leader in cloud security, securing over 1B+ assets and providing the most comprehensive enterprise security solution for cloud users. One of the unique challenges with security posture detection in a deeply connected ecosystem like the public clouds of AWS, Azure, GCP, etc. is to be able to actually use these relationships to uncover advanced threats to the infrastructure that may otherwise go completely unnoticed. Join Krishnan Narayan for a quick overview of how PaloAlto Networks apply graph theory to solve some of the most advanced challenges around security posture detection and response.",Advanced,Krishnan,Narayan,Krishnan Narayan,Distinguished Engineer,Krishnan Narayan is a Distinguished Engineer at Palo Alto Networks with a over a decade of experience in the enterprise security industry providing technical leadership for product lines worth $XXXM+ in ARR.
97,Todo1,Financial,Fraud,General,Lightning Talk,"Apps & APIs, Cloud, Data Science, Operations, Security",Using Graphs to Take Down Fraudsters in Real Time,"Digital transformation in the financial industry has been profound in the last decade and continues to accelerate. Unfortunately, fraudsters have also modernized and are exploiting the advantages of the digital landscape to make a profit. This presentation covers the success story of a graph-based machine learning application built to fight digital fraud in real time that is currently helping a wide array of financial institutions.",Basic,Edgar,Osuna,Edgar Osuna,Chief Data & Analytics Officer,"Edgar is currently the Chief Data & Analytics Officer at Todo1, a company that has been serving financial institutions for more than 20 years in the digital space. Edgar has more than 20 years of experience in the application of analytics in the financial industry across Latam, Europe, and the U.S. He holds a BS in Computer Engineering and a PhD in Operations Research from MIT. He is also a recipient of the IEEE Longuet-Higgins Prize for published contribution in the field of machine learning."
99,Federation of State Medical Boards,Healthcare,Graph Tech,General,Full Length Session,Aura,Guiding Future Doctors With a Graph,"Over 30,000 physicians register each year to take the final step of the high-stakes United States Medical Licensing Exam. The Federation of State Medical Boards (FSMB) is the single point of entry for this registration. The complex and arduous journey to becoming a fully licensed physician is incomparable to any other professional requirements, with the health care of the general population dependent on its success. This presentation explores the first use of a Neo4j graph database by the FSMB. It was designed to improve the flow and experience on the exam registration website, guiding physicians through the process. Join us to learn about our journey with Neo4j, including why we decided to use a graph database, our rookie mistakes and deployment triumphs, and the design evolution that led to a custom data ingest tool that we fondly call “Rocket.”",Basic,Jill,Putnam,Jill Putnam,Enterprise Data Manager,"Jill Putnam is the Enterprise Data Manager at the Federation of State Medical Boards (FSMB). As a proven leader, she cultivates highly effective data and development teams and is a steward of the organization’s data, systems, and products. Jill welcomes change and enjoys integrating new data technologies into existing infrastructures. She earned her bachelor's degree from Texas Christian University and is a Neo4j Certified Professional."
104,Neo4j,General,Machine Learning,Data Scientists,Full Length Session,"Data Science, Language-specific",ETL and Supervised ML Using Python,"This presentation will be partitioned into two parts: 1) ETL best practices using the Neo4j Python driver and 2) Running supervised ML with the Neo4j Graph Data Science Library using the Python client. Part 1 (ETL): The ETL portion of the presentation will cover building Neo4j property graphs using the Python driver. We'll also go over best practices, including batching, transaction functions, templatized Cypher, and more. Part 2  (Supervised ML): The supervised ML portion will explore using the Python graph data science client. You can specify all the different properties, configurations, and user inputs that will be used to run node classification algorithms and return the results. The function calls are modular and allow the user to quickly build a graph data science pipeline and get results for any of the three node classification algorithms (fastRP, Node2Vec, GraphSage).",Advanced,Amey,Mahajan,Amey Mahajan,Enterprise Presale Engineer,
105,Neo4j,General,Visualization,Developer,Full Length Session,"Aura, Cypher, Graph Visualization",Exploring the GraphConnect 2022 Audience as a Graph,"Ever wondered about the background of the audience around you at a conference? At GraphConnect 2022, we will show you! At registration every participant is sharing some details about themselves and during our session we will showcase where people are from, what favorite programming languages they use, and more. We'll also import the agenda of the conference into Neo4j and make it accessible in Neo4j Bloom. In this session, we want to showcase how easy it is to go from model to graph. We'll start with a concept, with the Neo4j Data Importer, and then load data into Neo4j and explore this data in Neo4j AuraDB Free and Neo4j Bloom. By including data from the audience, we make the results more tangible and interesting for everybody. We can host the graph afterwards on AuraDB for everybody to explore (at least the schedule part).",Basic,Alexander,Erdl,Alexander Erdl,Senior Developer Marketing Manager,Alexander Erdl is passionate about graphs and has spent the last years spreading the word about Neo4j as Senior Marketing Manager. He loves observing the positive resonance and learning about the multitude of innovative customer use cases. New technologies (hardware and software) have been the focus of his entire career.
106,AppsFlyer,General,Security,Developer,Full Length Session,"Apps & APIs, Best Practices, Cloud, Security",Building an Authorization Solution for Microservices Using Neo4j and OPA,"Join us to learn how we built an innovative centralized policy-based authorization solution for microservices architecture using Neo4j and OPA (open policy agent). We will explore the advantages and challenges of having a shared repository for entities and an authorization data model. Our business-critical domain model, which provides the context to all AppsFlyer data analytics products, is managed in Neo4j and reflects the entire graph of relationships between our customers and partners. In addition, we use Neo4j as the control plane repository of the authorization service. Managing permissions configuration and entities as part of the same graph allows us to easily manage the lifecycle dependencies between the two. Our innovative authorization solution, on top of Neo4j, allows us to easily change the authorization logic when new functionality is added or when data sharing policies or privacy regulations change. We help more than 80K customers by providing advanced analytics solutions and products for marketing teams and application owners. Our customers include global brands such as Coca-Cola, Nike, Pinterest, Visa and more. We also integrate with over 9K partners, including media partners, customer engagement platforms, campaign management platforms and more.",Intermediate,Ido,Faran,Ido Faran,Software Team Leader,
108,Ascend Learning,EdTech,Machine Learning,Data Scientists,Full Length Session,Data Science,Graph Application for AI Tutor: Knowledge Tracing Prediction and Learner Patterns,"Within the EdTech domain, the use of AI to predict and personalize learning has been a growing focus. In 2018, Riiid Labs released the first-ever EdNet. “EdNet is composed of 131,441,538 interactions collected from 784,309 students using Santa since 2017.""  Also, in 2020, Riiid Labs sponsored a Kaggle competition focused on “Knowledge Tracing,” the modeling of student knowledge over time using the EdNet database. The winning solution achieved an AUC .82 on a private leaderboard using Transformer + RNN.  In this session, we will explore what graph can achieve in performance and new applications in the EdTech industry. Specifically, we will explore the EdNet database and validate graph-based approaches within the Kaggle competition to understand if graph structure can enhance performance and if by-products of database, unique to graph, will showcase insights for application in areas such as learner deficit identification and/or question biases.",Intermediate to Advanced,Aaron,Moss,Aaron Moss,Sr Data Scientist,
109,Deloitte | AI Center of Excellence,Healthcare,Machine Learning,Data Scientists,Full Length Session,Data Science,Application of Graph Analytics for Identification of Risk Signature Profiles in Health Care Claims,"Each year billions of insurance claims are submitted by healthcare providers. U.S. healthcare spending continues to grow over five percent year-over-year and accounts for approximately 20 percent of the Gross Domestic Product. The National Health Care Anti-Fraud Association conservatively estimates healthcare fraud at three percent of total health care costs, which in 2019 represented over a hundred billion dollars in fraud. The Centers for Medicare & Medicaid Services and other regulators mandate fraud, waste, and abuse (FWA) surveillance by payors of healthcare claims. Screening providers based on their risk profiles across various dimensions of FWA is a key component of such surveillance. Our project identifies providers sharing common risk signatures with other providers – uncovering pairwise similarity using graph-theoretic algorithms and graph neural network (GNN) methods. This two-pronged solution works with Neo4j’s graph engine at its core by applying Graph Data Science and serving quality graph datasets to external state-of-the-science GNN training workflows. The objective of these two approaches is to produce complementary groupings of providers with common risk signatures. Our analyses reveal the likelihood of hidden or unknown relationships between providers across various FWA dimensions.",Basic,Sal,Aguinaga,Sal Aguinaga,Master Data Scientist,"Sal Aguinaga is a computer scientist focusing on graph abstractions and graph neural network modeling assigned to Deloitte's AI Center of Excellence in Risk and Financial Advisory designing solutions to problems around cyber and strategic risk. Sal's personal time is spent with his wife and three school-age kids in Northern Indiana. Other interests include learning quantum computing, learning about well-being, and letting their labradoodle take him on runs near their house. My professional skills derive from experiences in electronic hardware engineering, electrophysiology, and building ML-powered tools. Past work includes engineering products like cell phones and telecom equipment and research exploring cell biology of the inner ear using electrophysiology techniques. Recently, the application of NLP, computer vision, ML, and graph neural networks has guided solutions to claim automation and fraud in healthcare."
110,EnXchange,Energy,CoreDB-UC,Developer,Full Length Session,"Apps & APIs, Data Science, Graph Visualization, Security",Revolutionizing the Energy Industry with Graphs,"Today's Energy industry is fraught with complications, from old data silos, complex ""smart"" equipment, and massively changing new demand from EV to solar and wind home generation. In this session, hear how graph databases are revolutionizing the way the energy industry connects and powers the world. All types of players in the industry from transmission companies, co-ops, consumers, and equipment providers are part of the ""graph"" and will become integrated players in the new world for how we all interact with the energy grid. This session will focus on EnXchange's vision to orchestrate and optimize grid operations serving more than 40 million commercial and residential customers across the U.S. From generation to toaster, EnXchange is using Neo4j and Fabric to deliver actionable insights and predictive analytics across hundreds of independent operators.",Basic to intermediate,David,Swain,David Swain,CEO,"David Swain has been the CEO of ENX Power CEO for over three years, previously the CEO at Central Electric Power Cooperative for 13 years. He's also been President at Chapman Energy Technology, President at GeKL Energy Technology, and CEO at Grundy Electric Coop."
112,Neo4j,General,Graph Tech,General,Lightning Talk,"Aura, Cypher, Graph Visualization",Node Art,"Neo4j is unique among all databases in terms of how interactive and visual graphs are. In this lightning talk, we're going to put aside all practical work to explore and have fun with this side of graphs. We will use Cypher to create patterns in the graph to demonstrate how visualization tools help us spot patterns. Simply put, we're going to draw pretty pictures with graphs and math, and show you how you can do it too.",Basic,M. David,Allen,M. David Allen,Senior Director of Developer Relations,"M. David Allen leads the developer relations team at Neo4j. He focuses on helping developers build cool new applications on top of Neo4j AuraDB, and broadens the impact of the amazing Neo4j community.  When he's not trying to improve something technical, you can find him trying to restore an Appalachian dulcimer, playing some kind of musical instrument, or cycling. He enjoys meeting new people, has a very keen interest in language and culture, and loves to find common ground with other people through travel and music."
113,Northrop Grumman (but submitting this particular talk representing myself),General,Innovation,Developer,Full Length Session,"Apps & APIs, Full Stack, Graph Visualization, Knowledge Graphs",Weaving Tangled Webs: Using Graphs to Author Content (And Other Unconventional Use Cases),"A satisfying narrative is complex and cohesive. Twisty, but intentional. Surprising and satisfying. Unfortunately, the creative process behind rich content often seems to be the mysterious byproduct of artistic genius – unapproachable without inspiration. But as a community of graph enthusiasts, we embrace complexity. We have the tools to break it down and engineer twists and turns. Usually, we apply these skills to solve business problems, but we aren't limited to them. Thinking with graphs is a superpower with applications, limited only by the creativity of the wielder. In this talk, you will see a demonstration of the art and science of designing a fictional narrative using Silky, an Electron-based React application designed for this express purpose. Silky is a graph-native word processor that encourages authors to plan their work non-linearly and unlocks the power of graph analysis through an interface to Neo4j. With it, we spin characters into threads, and threads into webs. From there, a captivating story is just a graph traversal away. This talk is for the engineer looking for a change of pace, the business professional with a new idea to model, and the hopeless authors among us with a story to tell.",Basic,Brandon,Campbell,Brandon Campbell,"Software Engineering Manager (but submitting this particular talk as an Author, Ontologist, and Software Engineer)","Brandon Campbell is a Software Engineering Manager for Northrop Grumman where he champions Graph adoption.  In his off hours, he is an aspiring author and creative tinker who writes word processing applications when he is having writers block. His one claim to fame in the publishing industry is his sister, Crystal Smith, author of the Bloodleaf trilogy."
114,Predictive UX,General,Development,Developer,Lightning Talk,"Apps & APIs, Graph Visualization, Knowledge Graphs",Design Thinking for Graph Data: The Secret to Successful Graph-Powered Apps,"Data that isn’t findable, easy to use, and actionable causes project failures, especially when you need to connect multiple, disparate sources of data and content.

That’s why it’s critical for enterprises to practice design thinking to ideate, design, and test graph-based products when collaborating with users, data consumers, business leaders, and data experts. Design thinking is a UX method for collaboratively and iteratively designing content and data solutions based on user needs and testing. It puts business, data experts, data consumers, and users at the center by defining user journeys and pain points on both the front-end and backend to tie app and data flow to scenario-specific outcomes.

This approach puts companies on track to reap their expected returns and nurture the health of content and data products with a defined governance structure for managing change over time. The result: apps full of graph-powered data insights and integrated, usable experiences that grow and protect revenue. In this talk, we take a look at design thinking applied to graph data, using real-world case studies from our clients.
",Intermediate,Karen,Passmore,Karen Passmore,CEO,"Karen Passmore is the founder and CEO of Predictive UX. She has over 25 years of experience leading app design and content management initiatives for enterprise organizations and startups. She has personally worked with over 100 companies as a product strategist, user experience designer, developer, and analyst to bring to market custom data-rich enterprise applications, intranets, and SaaS products. Her experience has provided the unique opportunity for Karen to work in various sectors, including medicine, healthcare, energy, fintech, pharma, manufacturing, telecom, real estate, data security, and the Federal government. Karen has developed her own DEI by Design methodology, authored courses on data-driven design, and is a speaker and trainer on user experience design for data-rich applications, DEI product strategies, and actionable data.

"
115,Rabobank,Financial,Fraud,Data Scientists,Lightning Talk,Data Science,Applying Network Analytics in KYC,"As Rabobank, we are striving to apply existing risk assessment with insights from network analytics. As a first step, we launched a project aiming at detection of clients participating in money laundering schemes. This project will be the main topic of our presentation. In this project, the central question was how to determine whether a client is actively participating in money laundering by using network analytics. The network was captured by extracting network features. These features were a result of running a variety of graph queries and Algorithms on top of our graph model. In this presentation, we will discuss how we build up the graph data model, how we apply graph queries, and which algorithms can be run on these graphs. Sharing our lessons learned, we hope to give you valuable insights on this topic",Basic to intermediate,Erik,Bijl,Erik Bijl,Data Scientist,"Erik Bijl is working as a Data Scientist in the Data and Analytics department of Rabobank. Currently, his focus is on projects involving network analytics and entity matching. Erik is a Certified Neo4j Professional and has obtained a master's degree in Computing Science."
117,Accenture,General,Knowledge Graph,Data Scientists,Full Length Session,Data Science,Adversarial Risk Analysis Using Knowledge Graphs,"Today, enterprises in general and industrial manufacturers in particular are increasingly connecting to external networks. As such, industrial processes that were once isolated from the open internet network are now more vulnerable to external cyber attacks. As the frequency and resulting impact of these vulnerabilities increases, there is a need to prioritize and mitigate risks in order of importance to the business. Unlike common risk assessment tools that prioritize risks based on their potential damage to the infrastructure layer alone, we add the business context to the equation. Using Neo4j, we present a knowledge-graph-driven approach to address the above challenges. Our work will be demonstrated over a vehicle assembly smart manufacturing environment. First, we present the notion of process-aware attack-graphs: a semantic representation of the factory infrastructure and industrial-process layers. We base the approach on the usage of graph data science algorithms to quantify the cybersecurity risk based on potential adversary behaviors. Then, map the risk from the infrastructure layer to the process layer. And lastly, to identify the risk root cause and recommend, which issues to address first accordingly. This session will be focused on the usage of Neo4j Graph Data Science algorithms over knowledge graphs while triaging business and cybersecurity.",Intermediate,Gal,Engelberg,Gal Engelberg,Research Associate Principal,"Gal is a Senior Researcher at Accenture Israel Cyber R&D Lab. He is an experienced data scientist with a demonstrated history of converting data into actions and building cutting-edge technologies across various industries, especially in the cybersecurity space. His recent research projects focused on the use of knowledge graphs, graph data science algorithms, and process-mining techniques to infer what is the business impact of cyber attacks on organizations. Gal enjoys watching Netflix, reading books, listening to political podcasts, and spending quality time with his family."
118,University of Texas MD Anderson Cancer Center,Healthcare,GDS-UC,Data Scientists,Full Length Session,Data Science,Enabling Patient-Driven Medicine Using a Graph Database,"For decades, relational databases and static networks have been the mainstream for data-driven biology and medicine. Despite the simplicity of these approaches, these static architectures do not enable unbiased hypothesis generation and systems biology-based discovery. Systems biology attempts to capture the dynamic and integrative nature of biology. Graph databases as mutable and dynamic querying structures coalesce data through interactions, enabling the study of biological systems as complex adaptive systems and providing a platform for hypothesis generation. This article introduces a generalized patient-centric graph schema that integrates molecular and clinical datasets, providing an unbiased hypothesis-generation paradigm for cancer research. It also highlights an example of a database analysis using a commercial graph solution (Neo4j) that reveals the integrated landscape for a molecular subtype of brain tumors.",Intermediate,Kasthuri,Kannan,Kasthuri Kannan,Associate Professor,"Dr. Kannan is an Associate Professor and the Director of the Computational Pathology Program at The University of Texas MD Anderson Cancer Center in Houston, TX. He is a data scientist specializing in omics analysis of cancer datasets, biomedical informatics, and image processing. His several years of data-driven training include machine learning and statistics. He is an expert in analyzing large-scale datasets and mathematical modeling. Currently, he is pioneering graph analytics at UT MD Anderson Cancer Center. He is actively building a patient-centric Neo4j graph database for integrating molecular and clinical datasets for neuro-oncology. Also, he specializes in spatial stochastic processes and their application to multiplexed immunofluorescence images. His scientific interest is diverse and includes cancer biology, formal logic, physical theories, computing, and mathematics. He is passionate about systems biology, and his interest in biology, particularly cancer genomics, has resulted in numerous publications. Also, he is very passionate about teaching. He has actively designed, developed, and directed data science, machine learning, and biomedical informatics courses."
120,Neo4j,General,Customer360,Developer,Full Length Session,"Apps & APIs, Cypher","Endless Possibilities: Building a Customer360 with Neo4j, Structr, and Vendor APIs","This session will explore the journey of developing an in-house customer360 graph and describe the technologies employed, which include Neo4j, APOC, Structr as well as references to Zendesk, Trello, and Bambo APIs. You’ll hear about the implementation of Structr, a partner of Neo4j, along with the benefits and usage provided to users of the graph.",Basic to intermediate,Dana,Canzano,Dana Canzano,Support Engineer,Dana Canzano is a member of Neo4j Customer Support and a frequent contributor to community.Neo4j.com. He has described his Neo4j experiences at https://medium.com/@dana.canzano. Dana is driven by continued process improvement and simplification.
121,Neo4j,General,CoreDB-Prod,Developer,Workshop,"Apps & APIs, Cloud, Cypher, Language-specific, Operations, Security",Neo4j Graph Database Key Features Hands-On Lab,"Over the past year, we released some of the most exciting and mission-critical features for the Neo4j graph database, helping developers and organizations build applications at scale with a faster time to market. In this hands-on workshop, we will take you through some of the key features of the Neo4j graph database, like relationship indexes, CALL IN Transactions, HTTP API, Single Sign-On, Helm Charts, Server-Side Routing, and more. Bonus: we will give you a sneak peek, as well as let you play with some of the experimental features that are about to come with our next major version release of Neo4j. Come and join us for some really fun and exciting hands-on labs with the product team.",Intermediate,Stu,Moore,Stu Moore,Product Manager,"Stu Moore is a Neo4j Product Manager based in London. He has 13 years of product management experience building products with analytics and machine learning (Barclays’ People Analytics), delivering Windows containers from the cloud (start-up), XenApp (Citrix), and a real-time clustering solution for Windows applications like SQL Server and VMware’s vCenter (Neverfail). Much of the time, Stu can be found time outside with his Polish Lowland Sheepdog or going for a run, as he enjoys the occasional hilly half marathon and obstacle course race. Stu enjoys all food and craft beer and watching Nordic Noir on Netflix."
123,"Who Am I, LLC",Biotechnology,GDS-UC,Developer,Full Length Session,"Apps & APIs, Best Practices, Cypher, Data Science, Graph Visualization, Knowledge Graphs",Graphs for Genealogists,"Graphs for Genealogists (GFG) is an open-source software package with an application front-end, visualization in GraphXR, a graph database, and a plugin designed for genealogy data management and analytics. The ETL loads family tree data in GECOM format, consumer DNA test results, and genealogist-curated files that create links between graphs. 

The analytics provide new insights and actionable recommendations for further genealogy research. GFG traversals collect concatenated strings to create Ahnentafel numbers and enable filtering on X-linked inheritance and other patterns. Traversals from the family tree through DNA matches to chromosome segment data find triangulation groups and monophyletic segments aligned with specific family tree branches. Graph algorithms from Neo4j Graph Data Science reveal communities aligned with family tree branches. Hierarchical trees include patrilineal trees, DNA haplotrees, ORDPATH-enhanced renderings, and hybrids linking these together. Chromosome painting and 3D renderings help users interpret the results. Recommendations include manageable sets of persons from a pool of over 250,000 DNA matches. There are many opportunities for further development of graph analytics in this billion-dollar industry.
",Intermediate,David A,Stumpf,David A Stumpf,Principle,"By trade, David A. Stumpf (MD, PhD) is a doctor. He spent his professional career as a pediatric neurologist in both practice (treating patients) and academia (teaching and laboratory research). Yet, even before his profession as a physician, he was a historian, investigator, and documentor of his family heritage. David has become an expert in genealogical research and records. Combining his unique experience as an MD and PhD in healthcare and academia, he has also become an expert in the complexities of DNA use in genealogy. Now a retired physician, he enjoys assisting others with their complex genealogical research.

David is a former chair of the department of neurology and now professor emeritus at Northwestern University; a mentor at MATTER, Chicago’s healthcare incubator; and former senior vice president for clinical data strategy at UnitedHeath Group. The latter led to his appreciation of the power of Neo4j and graph analytics. For the last several years he has developed, tested and deployed a Neo4j plugin for genealogists. Collaborations with DNA Painter and GraphXR bring the results to life through state-of-the-art visualizations, including 3D renderings and virtual reality."
124,Cap Gemini,Healthcare,Knowledge Graph,Developer,Full Length Session,"Apps & APIs, Best Practices, Data Science, Full Stack",Knowledge Graphs for Pharma: Powered by Data & AI Using KG4P,"KG4P uses an integrated technological stack including Neo4j, Dataiku, and Linkurious to build, refactor, exploit, and visualize a multi-source, life science knowledge graph. This graph is used to identify biomarkers for multiple myeloma. The Neo4j, Dataiku, and Linkurious Partnership as a product offers an all-in-one technical stack to accelerate data-driven use cases and projects. This versatile and agile solution eases the highlighting of hidden results and opportunities (new drug targets, strong biomarkers, new indicators, best drug responders, new collaborations, etc.). KG4P leverages data and insights and breaks data silos using graph technology – an all-in-one technical stack to cross data and generate operational insights.",Intermediate,Sébastien,Tourlet,Sébastien Tourlet,"Director, Data Science & Engineering","As a Doctor of Science, Sébastien Tourlet has 20 years of experience doing research in the pharmaceutical industry. He has developed transversal expertise in using the multiple data generated during the development of a drug. Sébastien is an expert in machine learning, deep learning, and NLP. He successively held several consulting positions before becoming head of the data mining consulting division at Klee Group, where he worked for large pharmaceutical groups, biotechs, and groups of hospitals. He then set up the translational bioinformatics platform (IPSEN) contributing to the acceleration of the development of molecules for each stage of the R&D pipeline. Sébastien's technical expertise helped him build a strategic view of the pharmaceutical industry and the health sector more broadly. In parallel, Sébastien has founded MyDisease2EZ, a non-profit social network based on IA and NLP to bring daily tips to patients with rare diseases or disabilities. He has piloted various projects relating to the discovery of therapeutic targets, the identification of biomarkers of drug efficacy, the selection of responder patients for advanced therapies, and the side effects of drugs or their combinations. Last but not least, Sébastien practices CrossFit to stay healthy!"
125,Cider Security,General,Visualization,General,Full Length Session,Security,Visualizing CI/CD - An Attacker's Perspective,"CI/CD environments and processes are increasingly becoming a key area of focus for hackers and consequently, defenders as well. However, truly visualizing the attack surface has become a complex engineering task as the number of exploits and vulnerabilities grow daily. 

This talk will walk you through the research performed to create an improved CI/CD graph model for hackers and defenders to provide greater control and defense mechanisms for the most central part of today's engineering organizations. There were many engineering complexities involved when modeling the graph, but ultimately the goal was to provide greater observability at scale, improved attack vector blast radius estimations, more precise defense simulations, and easier discoverability of potential attack vectors. Join us on the journey of modeling the graph to learn how to protect and dramatically improve visibility into the many nodes and edges of your most lucrative systems.


",Basic to Intermediate,Leon,Goldberg,Leon Goldberg,Chief Architect,"

Leon Goldberg is the Chief Architect at Cider Security, a rapidly-growing startup focusing on CI/CD security. In his current role, Leon focuses heavily on building and designing the core architecture of the Cider platform, in addition to scaling the product’s infrastructure and accelerating development processes. Leon has over 15 years of experience in software engineering, including major contributions to Snyk’s container modules and Red Hat’s OpenShift platform. Before joining Cider, Leon held the position of CTO at BeamUP, a highly disruptive startup in the field of ConstructionTech AI.
"
126,LARUS Business Automation,General,Development,Data Scientists,Workshop,"Best Practices, Cloud, Cypher, Data Science",Leveraging Neo4j With Apache Spark,"Apache Spark has become the most important framework for building data pipelines over the past few years because it's a framework that supports all ranges of big data formats in both batch and streaming modes. Given that, you can leverage Neo4j as a data source in Spark workflows with the official Neo4j Connector for Apache Spark. In this workshop, we'll show you how easy it is to move data back and forth in Neo4j with Spark in streaming and batch jobs using Python and Scala in a cloud environment. We'll also demonstrate how data scientists can easily combine Neo4j with Spark Python Pandas in order to provide insights.",Intermediate to Advanced,Andrea,Santurbano,Andrea Santurbano,CTO,"Andrea Santurbano is the CTO at LARUS Business Automation with 10 years of experience developing high-performance, mission-critical systems, and large-scale data pipelines across multiple and heterogeneous systems. Andrea loves open source and contributed to several big data projects, such as Apache Zeppelin, Cypher for Apache Spark, and the official Neo4j connectors for Apache Spark and Kafka. As a developer, he's very curious about discovering new technologies and enjoys the continuous learning process that makes things better every day."
