awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1964,Literature,The Nobel Prize in  Literature,1,1,273000,2828039,,declined,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1964,637,Jean-Paul Sartre,Jean-Paul Sartre,Jean-Paul,Sartre,Jean-Paul Sartre,,male,http://masterdataapi.nobelprize.org/2/laureate/637,1905-06-21,Paris,Paris,Europe,France,France,"Paris, France",1980-04-15,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
2016,Chemistry,The Nobel Prize in Chemistry,1,1/3,8000000,8301051,2016-10-05,received,for the design and synthesis of molecular machines,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2016,931,Jean-Pierre Sauvage,Jean-Pierre Sauvage,Jean-Pierre,Sauvage,Jean-Pierre Sauvage,,male,http://masterdataapi.nobelprize.org/2/laureate/931,1944-10-21,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,,,,,,,,Individual,,,"University of Strasbourg, Strasbourg, France",,,
2017,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/3,9000000,9176183,,received,for their discoveries of molecular mechanisms controlling the circadian rhythm,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2017,938,Jeffrey C. Hall,Jeffrey C. Hall,Jeffrey C.,Hall,Jeffrey C. Hall,,male,http://masterdataapi.nobelprize.org/2/laureate/938,1945-05-03,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Maine, Maine, ME, USA",,,
1997,Chemistry,The Nobel Prize in Chemistry,3,1/2,7500000,9572839,1997-10-15,received,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1997,289,Jens C. Skou,Jens C. Skou,Jens C.,Skou,Jens C. Skou,,male,http://masterdataapi.nobelprize.org/2/laureate/289,1918-10-08,Lemvig,Lemvig,Europe,Denmark,Denmark,"Lemvig, Denmark",2018-05-28,Aarhus,Aarhus,Europe,Denmark,Denmark,"Aarhus, Denmark",,,,,,,,,,,Individual,,,"Aarhus University, Aarhus, Denmark",,,
1990,Physics,The Nobel Prize in Physics,1,1/3,4000000,6329114,1990-10-17,received,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1990,138,Jerome I. Friedman,Jerome I. Friedman,Jerome I.,Friedman,Jerome I. Friedman,,male,http://masterdataapi.nobelprize.org/2/laureate/138,1930-03-28,"Chicago, IL","Chicago, IL",North America,USA,USA,"Chicago, IL, USA",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
1985,Chemistry,The Nobel Prize in Chemistry,2,1/2,1800000,3843964,1985-10-15,received,for their outstanding achievements in the development of direct methods for the determination of crystal structures,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1985,263,Jerome Karle,Jerome Karle,Jerome,Karle,Jerome Karle,,male,http://masterdataapi.nobelprize.org/2/laureate/263,1918-06-18,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",2013-06-06,,,,,,N/A,,,,,,,,,,,Individual,,,"US Naval Research Laboratory, Washington, DC, USA",,,
2002,Peace,The Nobel Peace Prize,1,1,10000000,12034660,2002-10-11,received,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2002,762,Jimmy Carter,Jimmy Carter,Jimmy,Carter,James Earl Carter,,male,http://masterdataapi.nobelprize.org/2/laureate/762,1924-10-01,"Plains, GA","Plains, GA",North America,USA,USA,"Plains, GA, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2017,Chemistry,The Nobel Prize in Chemistry,2,1/3,9000000,9176183,2017-10-04,received,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2017,945,Joachim Frank,Joachim Frank,Joachim,Frank,Joachim Frank,,male,http://masterdataapi.nobelprize.org/2/laureate/945,1940-09-12,Siegen,Siegen,Europe,Germany,Germany,"Siegen, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Columbia University, New York, NY, USA",,,
1997,Peace,The Nobel Peace Prize,2,1/2,7500000,9572839,1997-10-10,received,for their work for the banning and clearing of anti-personnel mines,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1997,565,Jody Williams,Jody Williams,Jody,Williams,Jody Williams,,female,http://masterdataapi.nobelprize.org/2/laureate/565,1950-10-09,"Putney, VT","Putney, VT",North America,USA,USA,"Putney, VT, USA",,,,,,,,,,,,,,,,,,Individual,"Putney, VT, USA",,,,,
1988,Chemistry,The Nobel Prize in Chemistry,1,1/3,2500000,4645689,1988-10-19,received,for the determination of the three-dimensional structure of a photosynthetic reaction centre,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1988,270,Johann Deisenhofer,Johann Deisenhofer,Johann,Deisenhofer,Johann Deisenhofer,,male,http://masterdataapi.nobelprize.org/2/laureate/270,1943-09-30,Zusamaltheim,Zusamaltheim,Europe,Germany,Germany,"Zusamaltheim, Germany",,,,,,,,,,,,,,,,,,Individual,,,"University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA","Howard Hughes Medical Institute, N/A",,
1910,Physics,The Nobel Prize in Physics,1,1,140703,7130220,,received,for his work on the equation of state for gases and liquids,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1910,15,Johannes Diderik van der Waals,Johannes Diderik van der Waals,Johannes Diderik,van der Waals,Johannes Diderik van der Waals,,male,http://masterdataapi.nobelprize.org/2/laureate/15,1837-11-23,Leiden,Leiden,Europe,the Netherlands,the Netherlands,"Leiden, the Netherlands",1923-03-08,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",,,,,,,,,,,Individual,,,"Amsterdam University, Amsterdam, the Netherlands",,,
1926,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,116960,3273134,,received,for his discovery of the Spiroptera carcinoma,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1926,316,Johannes Fibiger,Johannes Fibiger,Johannes,Fibiger,Johannes Andreas Grib Fibiger,,male,http://masterdataapi.nobelprize.org/2/laureate/316,1867-04-23,Silkeborg,Silkeborg,Europe,Denmark,Denmark,"Silkeborg, Denmark",1928-01-30,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,,,,,,,,,,Individual,,,"Copenhagen University, Copenhagen, Denmark",,,
1919,Physics,The Nobel Prize in Physics,1,1,133127,2377268,,received,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1919,24,Johannes Stark,Johannes Stark,Johannes,Stark,Johannes Stark,,male,http://masterdataapi.nobelprize.org/2/laureate/24,1874-04-15,Schickenhof,Schickenhof,Europe,Germany,Germany,"Schickenhof, Germany",1957-06-21,Traunstein,Traunstein,Europe,West Germany,Germany,"Traunstein, West Germany (now Germany)",,,,,,,,,,,Individual,,,"Greifswald University, Greifswald, Germany",,,
1944,Literature,The Nobel Prize in  Literature,1,1,121841,2510460,,received,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1944,614,Johannes V. Jensen,Johannes V. Jensen,Johannes V.,Jensen,Johannes Vilhelm Jensen,,male,http://masterdataapi.nobelprize.org/2/laureate/614,1873-01-20,Farsø,Farsø,Europe,Denmark,Denmark,"Farsø, Denmark",1950-11-25,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,,,,,,,,,,Individual,Denmark,,,,,
2002,Chemistry,The Nobel Prize in Chemistry,1,1/4,10000000,12034660,2002-10-09,received,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,for the development of methods for identification and structure analyses of biological macromolecules,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2002,756,John B. Fenn,John B. Fenn,John B.,Fenn,John B. Fenn,,male,http://masterdataapi.nobelprize.org/2/laureate/756,1917-06-15,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",2010-12-10,"Richmond, VA","Richmond, VA",North America,USA,USA,"Richmond, VA, USA",,,,,,,,,,,Individual,,,"Virginia Commonwealth University, Richmond, VA, USA",,,
2019,Chemistry,The Nobel Prize in Chemistry,1,1/3,9000000,9000000,2019-10-09,received,for the development of lithium-ion batteries,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2019,976,John B. Goodenough,John B. Goodenough,John,Goodenough,John B. Goodenough,,male,http://masterdataapi.nobelprize.org/2/laureate/976,1922-07-25,Jena,Jena,Europe,Germany,Germany,"Jena, Germany",,,,,,,,,,,,,,,,,,Individual,,,"University of Texas, Austin, TX, USA",,,
1956,Physics,The Nobel Prize in Physics,2,1/3,200123,2699501,,received,for their researches on semiconductors and their discovery of the transistor effect,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1956,66,John Bardeen,John Bardeen,John,Bardeen,John Bardeen,,male,http://masterdataapi.nobelprize.org/2/laureate/66,1908-05-23,"Madison, WI","Madison, WI",North America,USA,USA,"Madison, WI, USA",1991-01-30,"Boston, MA","Boston, MA",North America,USA,USA,"Boston, MA, USA",,,,,,,,,,,Individual,,,"University of Illinois, Urbana, IL, USA",,,
1994,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,1/3,7000000,9249471,1994-10-11,received,for their pioneering analysis of equilibria in the theory of non-cooperative games,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1994,711,John C. Harsanyi,John C. Harsanyi,John C.,Harsanyi,John C. Harsanyi,,male,http://masterdataapi.nobelprize.org/2/laureate/711,1920-05-29,Budapest,Budapest,Europe,Hungary,Hungary,"Budapest, Hungary",2000-08-09,"Berkeley, CA","Berkeley, CA",North America,USA,USA,"Berkeley, CA, USA",,,,,,,,,,,Individual,,,"University of California, Berkeley, CA, USA",,,
1962,Chemistry,The Nobel Prize in Chemistry,2,1/2,257220,2836985,,received,for their studies of the structures of globular proteins,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1962,227,John C. Kendrew,John C. Kendrew,John C.,Kendrew,John Cowdery Kendrew,,male,http://masterdataapi.nobelprize.org/2/laureate/227,1917-03-24,Oxford,Oxford,Europe,United Kingdom,United Kingdom,"Oxford, United Kingdom",1997-08-23,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",,,
2006,Physics,The Nobel Prize in Physics,1,1/2,10000000,11552680,2006-10-03,received,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2006,804,John C. Mather,John C. Mather,John C.,Mather,John C. Mather,,male,http://masterdataapi.nobelprize.org/2/laureate/804,1946-08-07,"Roanoke, VA","Roanoke, VA",North America,USA,USA,"Roanoke, VA, USA",,,,,,,,,,,,,,,,,,Individual,,,"NASA Goddard Space Flight Center, Greenbelt, MD, USA",,,
1986,Chemistry,The Nobel Prize in Chemistry,3,1/3,2000000,4098361,1986-10-15,received,for their contributions concerning the dynamics of chemical elementary processes,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1986,266,John C. Polanyi,John C. Polanyi,John C.,Polanyi,John C. Polanyi,,male,http://masterdataapi.nobelprize.org/2/laureate/266,1929-01-23,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,Individual,,,"University of Toronto, Toronto, Canada",,,
1951,Physics,The Nobel Prize in Physics,1,1/2,167612,2686090,,received,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1951,56,John Cockcroft,John Cockcroft,John,Cockcroft,Sir John Douglas Cockcroft,,male,http://masterdataapi.nobelprize.org/2/laureate/56,1897-05-27,Todmorden,Todmorden,Europe,United Kingdom,United Kingdom,"Todmorden, United Kingdom",1967-09-18,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"Atomic Energy Research Establishment, Harwell, Berkshire, United Kingdom",,,
1975,Chemistry,The Nobel Prize in Chemistry,1,1/2,630000,3404179,1975-10-17,received,for his work on the stereochemistry of enzyme-catalyzed reactions,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1975,247,John Cornforth,John Cornforth,John,Cornforth,John Warcup Cornforth,,male,http://masterdataapi.nobelprize.org/2/laureate/247,1917-09-07,Sydney,Sydney,Oceania,Australia,Australia,"Sydney, Australia",2013-12-08,,,,,,N/A,,,,,,,,,,,Individual,,,"University of Sussex, Brighton, United Kingdom",,,
2002,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,1/3,10000000,12034660,2002-10-07,received,for their discoveries concerning genetic regulation of organ development and programmed cell death',,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2002,752,John E. Sulston,John E. Sulston,John E.,Sulston,John E. Sulston,,male,http://masterdataapi.nobelprize.org/2/laureate/752,1942-03-27,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",2018-03-06,,,,,,N/A,,,,,,,,,,,Individual,,,"The Wellcome Trust Sanger Institute, Cambridge, United Kingdom",,,
1997,Chemistry,The Nobel Prize in Chemistry,2,1/4,7500000,9572839,1997-10-15,received,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1997,288,John E. Walker,John E. Walker,John E.,Walker,John E. Walker,,male,http://masterdataapi.nobelprize.org/2/laureate/288,1941-01-07,Halifax,Halifax,Europe,United Kingdom,United Kingdom,"Halifax, United Kingdom",,,,,,,,,,,,,,,,,,Individual,,,"MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",,,
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/3,181647,2640218,,received,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1954,356,John F. Enders,John F. Enders,John F.,Enders,John Franklin Enders,,male,http://masterdataapi.nobelprize.org/2/laureate/356,1897-02-10,"West Hartford, CT","West Hartford, CT",North America,USA,USA,"West Hartford, CT, USA",1985-09-08,"Waterford, CT","Waterford, CT",North America,USA,USA,"Waterford, CT, USA",,,,,,,,,,,Individual,,,"Harvard Medical School, Boston, MA, USA","Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA",,
1994,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,1/3,7000000,9249471,1994-10-11,received,for their pioneering analysis of equilibria in the theory of non-cooperative games,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1994,712,John F. Nash Jr.,John F. Nash Jr.,John F.,Nash Jr.,John F. Nash Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/712,1928-06-13,"Bluefield, WV","Bluefield, WV",North America,USA,USA,"Bluefield, WV, USA",2015-05-23,"New Jersey, NJ","New Jersey, NJ",North America,USA,USA,"New Jersey, NJ, USA",,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
1932,Literature,The Nobel Prize in  Literature,1,1,171753,5279293,,received,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1932,605,John Galsworthy,John Galsworthy,John,Galsworthy,John Galsworthy,,male,http://masterdataapi.nobelprize.org/2/laureate/605,1867-08-14,Kingston Hill,Kingston Hill,Europe,United Kingdom,United Kingdom,"Kingston Hill, United Kingdom",1933-01-31,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1946,Chemistry,The Nobel Prize in Chemistry,2,1/4,121524,2503929,,received,for their preparation of enzymes and virus proteins in a pure form,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1946,205,John H. Northrop,John H. Northrop,John H.,Northrop,John Howard Northrop,,male,http://masterdataapi.nobelprize.org/2/laureate/205,1891-07-05,"Yonkers, NY","Yonkers, NY",North America,USA,USA,"Yonkers, NY, USA",1987-05-27,"Wickenberg, AZ","Wickenberg, AZ",North America,USA,USA,"Wickenberg, AZ, USA",,,,,,,,,,,Individual,,,"Rockefeller Institute for Medical Research, Princeton, NJ, USA",,,
1977,Physics,The Nobel Prize in Physics,3,1/3,700000,3080986,1977-10-11,received,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1977,109,John H. van Vleck,John H. van Vleck,John H.,van Vleck,John Hasbrouck van Vleck,,male,http://masterdataapi.nobelprize.org/2/laureate/109,1899-03-13,"Middletown, CT","Middletown, CT",North America,USA,USA,"Middletown, CT, USA",1980-10-27,"Cambridge, MA","Cambridge, MA",North America,USA,USA,"Cambridge, MA, USA",,,,,,,,,,,Individual,,,"Harvard University, Cambridge, MA, USA",,,
1998,Peace,The Nobel Peace Prize,1,1/2,7600000,9713701,1998-10-16,received,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1998,566,John Hume,John Hume,John,Hume,John Hume,,male,http://masterdataapi.nobelprize.org/2/laureate/566,1937-01-18,Londonderry,Londonderry,Europe,Northern Ireland,Northern Ireland,"Londonderry, Northern Ireland",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
2005,Physics,The Nobel Prize in Physics,2,1/4,10000000,11711430,2005-10-04,received,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2005,792,John L. Hall,John L. Hall,John L.,Hall,John L. Hall,,male,http://masterdataapi.nobelprize.org/2/laureate/792,1934-08-21,"Denver, CO","Denver, CO",North America,USA,USA,"Denver, CO, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Colorado, JILA, Boulder, CO, USA","National Institute of Standards and Technology, Boulder, CO, USA",,
1923,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/2,114935,3169164,,received,for the discovery of insulin,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1923,314,John Macleod,John Macleod,John,Macleod,John James Rickard Macleod,,male,http://masterdataapi.nobelprize.org/2/laureate/314,1876-09-06,Cluny,Cluny,Europe,Scotland,Scotland,"Cluny, Scotland",1935-03-16,Aberdeen,Aberdeen,Europe,Scotland,Scotland,"Aberdeen, Scotland",,,,,,,,,,,Individual,,,"University of Toronto, Toronto, Canada",,,
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,8000000,8379888,,received,for their discoveries of cells that constitute a positioning system in the brain,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2014,903,John O'Keefe,John O'Keefe,John,O'Keefe,John O'Keefe,,male,http://masterdataapi.nobelprize.org/2/laureate/903,1939-11-18,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"University College, London, United Kingdom",,,
1998,Chemistry,The Nobel Prize in Chemistry,2,1/2,7600000,9713701,1998-10-13,received,for his development of computational methods in quantum chemistry,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1998,291,John Pople,John Pople,John,Pople,John A. Pople,,male,http://masterdataapi.nobelprize.org/2/laureate/291,1925-10-31,Burnham-on-Sea,Burnham-on-Sea,Europe,United Kingdom,United Kingdom,"Burnham-on-Sea, United Kingdom",2004-03-15,"Chicago, IL","Chicago, IL",North America,USA,USA,"Chicago, IL, USA",,,,,,,,,,,Individual,,,"Northwestern University, Evanston, IL, USA",,,
1972,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,1/2,480000,3345725,1972-10-25,received,for their pioneering contributions to general economic equilibrium theory and welfare theory,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1972,681,John R. Hicks,John R. Hicks,John R.,Hicks,John R. Hicks,,male,http://masterdataapi.nobelprize.org/2/laureate/681,1904-04-08,Warwick,Warwick,Europe,United Kingdom,United Kingdom,"Warwick, United Kingdom",1989-05-20,Blockley,Blockley,Europe,United Kingdom,United Kingdom,"Blockley, United Kingdom",,,,,,,,,,,Individual,,,"All Souls College, Oxford, United Kingdom",,,
1946,Peace,The Nobel Peace Prize,2,1/2,121524,2503929,1946-11-14,received,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,507,John R. Mott,John R. Mott,John R.,Mott,John Raleigh Mott,,male,http://masterdataapi.nobelprize.org/2/laureate/507,1865-05-25,"Livingston Manor, NY","Livingston Manor, NY",North America,USA,USA,"Livingston Manor, NY, USA",1955-01-31,,,North America,USA,USA,USA,,,,,,,,,,,Individual,USA,,,,,
1982,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,1/3,1150000,3102518,1982-10-11,received,for their discoveries concerning prostaglandins and related biologically active substances,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1982,427,John R. Vane,John R. Vane,John R.,Vane,John R. Vane,,male,http://masterdataapi.nobelprize.org/2/laureate/427,1927-03-29,Tardebigg,Tardebigg,Europe,United Kingdom,United Kingdom,"Tardebigg, United Kingdom",2004-11-19,Farnborough,Farnborough,Europe,United Kingdom,United Kingdom,"Farnborough, United Kingdom",,,,,,,,,,,Individual,,,"The Wellcome Research Laboratories, Beckenham, United Kingdom",,,
1962,Literature,The Nobel Prize in  Literature,1,1,257220,2836985,,received,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1962,634,John Steinbeck,John Steinbeck,John,Steinbeck,John Steinbeck,,male,http://masterdataapi.nobelprize.org/2/laureate/634,1902-02-27,"Salinas, CA","Salinas, CA",North America,USA,USA,"Salinas, CA, USA",1968-12-20,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,,,,
1904,Literature,The Nobel Prize in  Literature,2,1/2,140859,7767960,,received,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,574,José Echegaray,José Echegaray,José,Echegaray,José Echegaray y Eizaguirre,,male,http://masterdataapi.nobelprize.org/2/laureate/574,1832-04-19,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",1916-09-04,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",,,,,,,,,,,Individual,Spain,,,,,
1996,Peace,The Nobel Peace Prize,2,1/2,7400000,9490424,1996-10-11,received,for their work towards a just and peaceful solution to the conflict in East Timor,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1996,563,José Ramos-Horta,José Ramos-Horta,José,Ramos-Horta,José Ramos-Horta,,male,http://masterdataapi.nobelprize.org/2/laureate/563,1949-12-26,Dili,Dili,Oceania,East Timor,East Timor,"Dili, East Timor",,,,,,,,,,,,,,,,,,Individual,East Timor,,,,,
1998,Literature,The Nobel Prize in  Literature,1,1,7600000,9713701,,received,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1998,675,José Saramago,José Saramago,José,Saramago,José Saramago,,male,http://masterdataapi.nobelprize.org/2/laureate/675,1922-11-16,Azinhaga,Azinhaga,Europe,Portugal,Portugal,"Azinhaga, Portugal",2010-06-18,Lanzarote,Lanzarote,Europe,Spain,Spain,"Lanzarote, Spain",,,,,,,,,,,Individual,Portugal,,,,,
1987,Literature,The Nobel Prize in  Literature,1,1,2175000,4274764,,received,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1987,664,Joseph Brodsky,Joseph Brodsky,Joseph,Brodsky,Joseph Brodsky,,male,http://masterdataapi.nobelprize.org/2/laureate/664,1940-05-24,Leningrad,St. Petersburg,Europe,USSR,Russia,"Leningrad, USSR (now St. Petersburg, Russia)",1996-01-28,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,,,,
1990,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,4000000,6329114,,received,for their discoveries concerning organ and cell transplantation in the treatment of human disease,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1990,442,Joseph E. Murray,Joseph E. Murray,Joseph E.,Murray,Joseph E. Murray,,male,http://masterdataapi.nobelprize.org/2/laureate/442,1919-04-01,"Milford, MA","Milford, MA",North America,USA,USA,"Milford, MA, USA",2012-11-26,"Boston, MA","Boston, MA",North America,USA,USA,"Boston, MA, USA",,,,,,,,,,,Individual,,,"Brigham and Women's Hospital, Boston, MA, USA",,,
2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,3,1/3,10000000,12295082,2001-10-10,received,for their analyses of markets with asymmetric information,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2001,746,Joseph E. Stiglitz,Joseph E. Stiglitz,Joseph E.,Stiglitz,Joseph E. Stiglitz,,male,http://masterdataapi.nobelprize.org/2/laureate/746,1943-02-09,"Gary, IN","Gary, IN",North America,USA,USA,"Gary, IN, USA",,,,,,,,,,,,,,,,,,Individual,,,"Columbia University, New York, NY, USA",,,
1944,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,121841,2510460,,received,for their discoveries relating to the highly differentiated functions of single nerve fibres,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1944,337,Joseph Erlanger,Joseph Erlanger,Joseph,Erlanger,Joseph Erlanger,,male,http://masterdataapi.nobelprize.org/2/laureate/337,1874-01-05,"San Francisco, CA","San Francisco, CA",North America,USA,USA,"San Francisco, CA, USA",1965-12-05,"St. Louis, MO","St. Louis, MO",North America,USA,USA,"St. Louis, MO, USA",,,,,,,,,,,Individual,,,"Washington University, St. Louis, MO, USA",,,
1993,Physics,The Nobel Prize in Physics,2,1/2,6700000,9044276,1993-10-13,received,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1993,144,Joseph H. Taylor Jr.,Joseph H. Taylor Jr.,Joseph H.,Taylor Jr.,Joseph H. Taylor Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/144,1941-03-29,"Philadelphia, PA","Philadelphia, PA",North America,USA,USA,"Philadelphia, PA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
